gene,perm_importance_mean,perm_importance_std
GCHFR,7.637009749614788e-05,6.106484100240716e-05
TAGLN,7.608507789331753e-05,4.725947648488088e-05
SLPI,7.567366703788991e-05,0.000133587747863263
PPP1R10,7.43119171013884e-05,5.707884556667083e-05
SCD,7.427566088611393e-05,2.8938488245841556e-05
LINC01705,7.40244975950266e-05,1.6492340581165156e-05
PDK4,7.360258338285907e-05,3.279456271483799e-05
HMOX1,7.360065004174965e-05,5.8753776530769636e-05
RASSF8,7.349122530839747e-05,8.150431648900888e-05
MT1X,7.233522383954804e-05,7.303274733904529e-05
COL6A2,7.157166476388089e-05,0.00013980795661643967
PRR11,7.048979558228474e-05,5.539330527835723e-05
DST,6.978229252505575e-05,4.882223966802337e-05
TNFAIP2,6.915643742186895e-05,5.211526803819468e-05
MXD4,6.901094768855254e-05,5.235724430579158e-05
CXCL2,6.888928143758966e-05,5.0262161082994864e-05
AP002478.1,6.865441583829846e-05,2.5509874139606242e-05
HES4,6.841239515287256e-05,5.0714412869654876e-05
NR1D1,6.806495769161592e-05,7.575082590750174e-05
PHLDA1,6.79949429549076e-05,0.00010725513836115499
CXCL8,6.699431144736589e-05,9.334034707283523e-05
CCNL1,6.677097351905913e-05,4.1183478795870324e-05
HSPA2,6.661857467034071e-05,3.4214627997964274e-05
PNRC1,6.656665981668031e-05,4.0685301169744675e-05
DNAJB1,6.647996072995932e-05,7.25210616410134e-05
MIR222HG,6.54409948222745e-05,5.515246384903215e-05
FLRT3,6.543608360807252e-05,4.825140207841876e-05
VGF,6.535420701224704e-05,4.439323523073244e-05
HIST1H1D,6.500514396274859e-05,5.700552287229302e-05
SLC20A1,6.468392019665092e-05,4.665236645432716e-05
HIST1H2AC,6.41574243653742e-05,5.596917827501082e-05
CLK1,6.349191275881739e-05,5.4066135883238594e-05
PLAC8,6.313581144495872e-05,5.837824366653992e-05
PTPRN2,6.261990318695565e-05,0.00010651024740600221
GOLGB1,6.226586086794938e-05,5.068771770593193e-05
FAM111A,6.159151085601832e-05,6.783986567526529e-05
FAM83D,6.134945558732286e-05,6.659851184957495e-05
CBX4,6.125464960777815e-05,7.05226931969694e-05
NAMPT,6.124483717216967e-05,9.783715351268747e-05
IL7R,6.078104760058878e-05,5.517270138143637e-05
DNAJB9,6.076902938311202e-05,3.731947647842822e-05
FDPS,6.042776347735535e-05,0.00010056642960936565
NPTX1,6.0282050151261314e-05,6.522276395521019e-05
PHKG1,6.0115773150204445e-05,1.1948360620189185e-05
AC103591.3,5.951007403771635e-05,5.5528390540607355e-05
PLCG2,5.945919055381221e-05,2.7773096414490768e-05
KLF4,5.939077624743661e-05,7.21988811323754e-05
RSPO3,5.916486892042494e-05,4.556607541509178e-05
IGFBP3,5.886532562474622e-05,7.342777164448095e-05
HERPUD1,5.777663866584071e-05,4.571065817608409e-05
SAMSN1,5.7329363712688154e-05,2.0037083249499597e-05
PGF,5.7290668848086754e-05,3.306171538653286e-05
NUPR1,5.7213141131473576e-05,2.7600438110449906e-05
SAA2,5.706756627503751e-05,2.1758621418317144e-05
ICAM4,5.700194312696638e-05,3.6999251980211425e-05
ANP32E,5.69389881941107e-05,7.386488820879492e-05
ZNF432,5.655957030085146e-05,1.8577099050892256e-05
KRTAP13-4,5.5157525146753984e-05,1.9820080179638536e-05
XIRP1,5.473640925574008e-05,2.6635698496095055e-05
AGAP9,5.45759988940353e-05,4.311632603225687e-05
ATF3,5.4476684819448895e-05,4.19799842501782e-05
IGFBP5,5.4305443057312e-05,5.9100990232527e-05
SLC9A3R2,5.416371237330075e-05,0.00010846631311174908
CWC25,5.383957647246973e-05,3.330238479660177e-05
MAFF,5.366699052160584e-05,8.015075476553882e-05
RGS2,5.3500321351906964e-05,6.800916664669009e-05
PERP,5.3304658763819736e-05,0.0001235224721632799
PTTG1,5.234371211800815e-05,6.704766656046853e-05
FSD2,5.2148995623091386e-05,1.7503211510888158e-05
TM4SF1,5.143812501859912e-05,3.725689129182438e-05
PCDH9,5.128160109354463e-05,3.21830696419699e-05
APOL4,5.110054030065259e-05,4.910522425996399e-05
H2AFZ,5.091923809309451e-05,8.638078912993946e-05
HMMR,5.059292783008429e-05,9.065296175193716e-05
LINC02228,5.005279548276897e-05,7.082253834422847e-06
S100A14,4.9972640647166775e-05,1.4714799762505302e-05
NUF2,4.9948584465031586e-05,6.066714801491784e-05
CALD1,4.990206941009045e-05,4.865876363434176e-05
ADPRHL1,4.9767009787060613e-05,2.2504851084314826e-05
TAGLN3,4.962411693920643e-05,7.2251466822770274e-06
RND1,4.87592246498858e-05,1.3789597009515906e-05
SERPINE2,4.8282998084603344e-05,8.068234893551717e-05
AC034231.1,4.8073248933322434e-05,1.066558359970125e-05
MKI67,4.774302891277227e-05,6.207228040996506e-05
AL137003.2,4.7735709755014624e-05,1.5030135225612836e-05
AKR1C2,4.652130965132617e-05,6.131368772938374e-05
MTRNR2L8,4.630749787253308e-05,4.7478589239386086e-05
IDI1,4.629937084797975e-05,3.335786727623569e-05
FTX,4.60665460849663e-05,5.270387209218491e-05
CDC6,4.578388370020114e-05,3.1673325648231484e-05
